51297	467.2	776.7	-169.2	-478.7	125.8	13.5	3.7	229	30169	19.7
50818	443	754.2	-136.0	-447.6	143.1	12.4	3.4	227	31158	20.0
50371	419.2	719.9	-152.0	-452.7	153.5	13.9	3.3	227	31974	20.2
49918	389.2	739.2	-138.3	-488.3	177.5	17.5	3.3	228	32959	20.5
49430	385.1	758.1	-133.6	-506.6	230.1	23.6	3.3	226	33471	20.7
48923	376.5	746.0	-152.2	-521.7	311.1	32.6	3.2	226	33192	21.0
48402	390.7	754.9	-33.8	-398.0	376.4	37.2	3.1	224	32233	21.3
48004	408.6	765.4	-24.2	-381.0	462.3	51.0	3.0	223	32585	21.6
47623	427.3	761.3	-7.6	-341.6	589.6	75.7	2.9	223	32573	21.8
47281	426.1	782.0	4.6	-351.3	806.0	93.1	2.9	224	32912	22.0
46930	460.4	758.1	14.2	-283.5	1041.5	125.3	2.9	225	32240	22.2
46646	472.7	762.9	16.8	-273.4	1351.0	188.5	2.8	223	32807	22.5
46373	510.6	754.5	14.9	-229.0	1808.9	233.1	2.9	222	32467	22.8
46144	512.5	706.7	13.4	-180.8	1909.2	151.8	2.8	225	33032	23.0
45963	497.7	698.2	16.1	-184.4	2246.8	150.7	2.8	225	33080	23.3
45779	502.6	664.6	17.1	-144.9	2639.2	209.1	2.5	224	32381	23.5
45634	520.7	663.1	61.8	-80.6	3031.9	293.7	2.4	217	31162	23.7
45553	503.7	662.4	31.9	-126.8	3273.8	267.7	2.2	217	31024	23.8
